model,env,noise,accuracy,date
models/gmm/door_3p.npy,door,0.0,0.51,2023-02-22 17:10:00.437849
models/gmm/door_3p/n00_f.npy,door,0.0,0.0,2023-02-22 17:18:07.208767
models/gmm/door_3p/n00_js.npy,door,0.0,0.74,2023-02-22 17:25:15.857821
models/gmm/door_3p.npy,door,0.01,0.35,2023-02-22 17:10:13.187489
models/gmm/door_3p/n01_f.npy,door,0.01,0.0,2023-02-22 17:17:52.423058
models/gmm/door_3p/n01_js.npy,door,0.01,0.61,2023-02-22 17:26:04.630129
models/gmm/door_3p.npy,door,0.02,0.24,2023-02-22 17:11:01.808466
models/gmm/door_3p/n02_f.npy,door,0.02,0.04,2023-02-22 17:17:57.567171
models/gmm/door_3p/n02_js.npy,door,0.02,0.33,2023-02-22 17:26:24.033625
models/gmm/door_3p.npy,door,0.03,0.15,2023-02-22 17:11:09.105124
models/gmm/door_3p/n03_f.npy,door,0.03,0.0,2023-02-22 17:19:49.360722
models/gmm/door_3p/n03_js.npy,door,0.03,0.18,2023-02-22 17:27:05.213005
models/gmm/door_3p.npy,door,0.05,0.06,2023-02-22 17:11:26.587323
models/gmm/door_3p/n05_f.npy,door,0.05,0.07,2023-02-22 17:20:40.230308
models/gmm/door_3p/n05_js.npy,door,0.05,0.05,2023-02-22 17:28:32.435486
models/gmm/door_5p.npy,door,0.0,0.54,2023-02-22 17:07:53.712933
models/gmm/door_5p/n00_f.npy,door,0.0,0.39,2023-02-22 17:16:05.354995
models/gmm/door_5p/n00_js.npy,door,0.0,0.12,2023-02-22 17:24:01.372041
models/gmm/door_5p.npy,door,0.01,0.39,2023-02-22 17:08:17.680657
models/gmm/door_5p/n01_f.npy,door,0.01,0.0,2023-02-22 17:16:18.518192
models/gmm/door_5p/n01_js.npy,door,0.01,0.35,2023-02-22 17:23:34.690568
models/gmm/door_5p.npy,door,0.02,0.35,2023-02-22 17:08:16.845175
models/gmm/door_5p/n02_f.npy,door,0.02,0.0,2023-02-22 17:17:30.820814
models/gmm/door_5p/n02_js.npy,door,0.02,0.2,2023-02-22 17:23:59.005316
models/gmm/door_5p.npy,door,0.03,0.14,2023-02-22 17:09:10.842354
models/gmm/door_5p/n03_f.npy,door,0.03,0.1,2023-02-22 17:16:18.589231
models/gmm/door_5p/n03_js.npy,door,0.03,0.18,2023-02-22 17:26:41.806187
models/gmm/door_5p.npy,door,0.05,0.11,2023-02-22 17:09:27.775388
models/gmm/door_5p/n05_f.npy,door,0.05,0.05,2023-02-22 17:16:56.628042
models/gmm/door_5p/n05_js.npy,door,0.05,0.05,2023-02-22 17:26:10.772189
models/gmm/door_7p.npy,door,0.0,0.56,2023-02-22 17:06:00.321331
models/gmm/door_7p/n00_f.npy,door,0.0,0.02,2023-02-22 17:13:44.615790
models/gmm/door_7p/n00_js.npy,door,0.0,0.34,2023-02-22 17:21:19.516331
models/gmm/door_7p.npy,door,0.01,0.42,2023-02-22 17:06:09.618844
models/gmm/door_7p/n01_f.npy,door,0.01,0.02,2023-02-22 17:14:08.023757
models/gmm/door_7p/n01_js.npy,door,0.01,0.25,2023-02-22 17:21:10.616633
models/gmm/door_7p.npy,door,0.02,0.45,2023-02-22 17:06:02.133386
models/gmm/door_7p/n02_f.npy,door,0.02,0.2,2023-02-22 17:13:23.382285
models/gmm/door_7p/n02_js.npy,door,0.02,0.04,2023-02-22 17:20:37.996913
models/gmm/door_7p.npy,door,0.03,0.19,2023-02-22 17:07:05.284609
models/gmm/door_7p/n03_f.npy,door,0.03,0.27,2023-02-22 17:14:33.149622
models/gmm/door_7p/n03_js.npy,door,0.03,0.21,2023-02-22 17:23:32.932589
models/gmm/door_7p.npy,door,0.05,0.11,2023-02-22 17:06:39.899388
models/gmm/door_7p/n05_f.npy,door,0.05,0.12,2023-02-22 17:13:58.883131
models/gmm/door_7p/n05_js.npy,door,0.05,0.02,2023-02-22 17:23:01.759942
