model,env,noise,accuracy,date
models/bc/door_lstm_f_100.npz,door,0.0,0.0,2023-07-20 02:04:04.023008
models/bc/door_lstm_f_100.npz,door,0.01,0.0,2023-07-20 02:04:07.094479
models/bc/door_lstm_f_100.npz,door,0.02,0.0,2023-07-20 02:04:08.850531
models/bc/door_lstm_f_100.npz,door,0.03,0.0,2023-07-20 02:04:29.844314
models/bc/door_lstm_f.npz,door,0.0,0.0,2023-07-20 01:59:45.139896
models/bc/door_lstm_f.npz,door,0.01,0.0,2023-07-20 02:00:14.471126
models/bc/door_lstm_f.npz,door,0.02,0.0,2023-07-20 02:00:35.932810
models/bc/door_lstm_f.npz,door,0.03,0.0,2023-07-20 02:00:45.687740
models/bc/door_lstm_ft_100.npz,door,0.0,0.0,2023-07-20 02:05:45.070977
models/bc/door_lstm_ft_100.npz,door,0.01,0.0,2023-07-20 02:05:53.554904
models/bc/door_lstm_ft_100.npz,door,0.02,0.0,2023-07-20 02:06:43.854665
models/bc/door_lstm_ft_100.npz,door,0.03,0.0,2023-07-20 02:06:46.882885
models/bc/door_lstm_ft.npz,door,0.0,0.0,2023-07-20 02:01:21.408200
models/bc/door_lstm_ft.npz,door,0.01,0.0,2023-07-20 02:01:25.185145
models/bc/door_lstm_ft.npz,door,0.02,0.0,2023-07-20 02:01:28.307187
models/bc/door_lstm_ft.npz,door,0.03,0.0,2023-07-20 02:01:38.491780
models/bc/door_lstm_geom_100.npz,door,0.0,0.0,2023-07-20 02:02:46.749929
models/bc/door_lstm_geom_100.npz,door,0.02,0.0,2023-07-20 02:02:51.072382
models/bc/door_lstm_geom_100.npz,door,0.03,0.0,2023-07-20 02:02:51.518991
models/bc/door_lstm_geom.npz,door,0.0,0.0,2023-07-20 01:58:42.002505
models/bc/door_lstm_geom.npz,door,0.01,0.01,2023-07-20 01:58:38.470647
models/bc/door_lstm_geom.npz,door,0.02,0.03,2023-07-20 01:58:43.590636
models/bc/door_lstm_geom.npz,door,0.03,0.02,2023-07-20 01:58:52.316545
models/bc/door_lstm_js_100.npz,door,0.0,0.21,2023-07-20 02:02:29.268946
models/bc/door_lstm_js_100.npz,door,0.01,0.06,2023-07-20 02:02:26.217423
models/bc/door_lstm_js_100.npz,door,0.02,0.06,2023-07-20 02:03:12.949159
models/bc/door_lstm_js_100.npz,door,0.03,0.02,2023-07-20 02:03:17.448549
models/bc/door_lstm_js.npz,door,0.0,0.13,2023-07-20 01:59:21.276119
models/bc/door_lstm_js.npz,door,0.01,0.18,2023-07-20 01:59:55.637467
models/bc/door_lstm_js.npz,door,0.02,0.16,2023-07-20 01:59:59.265801
models/bc/door_lstm_js.npz,door,0.03,0.09,2023-07-20 02:00:02.356010
models/bc/door_lstm_t_100.npz,door,0.0,0.0,2023-07-20 02:04:37.615762
models/bc/door_lstm_t_100.npz,door,0.01,0.01,2023-07-20 02:05:24.510087
models/bc/door_lstm_t_100.npz,door,0.02,0.0,2023-07-20 02:05:28.476139
models/bc/door_lstm_t_100.npz,door,0.03,0.02,2023-07-20 02:05:28.369736
models/bc/door_lstm_t.npz,door,0.0,0.0,2023-07-20 02:00:41.553595
models/bc/door_lstm_t.npz,door,0.01,0.0,2023-07-20 02:00:47.989023
models/bc/door_lstm_t.npz,door,0.02,0.01,2023-07-20 02:00:56.492815
models/bc/door_lstm_t.npz,door,0.03,0.01,2023-07-20 02:01:21.815658
