model,env,noise,accuracy,date
models/gmm/peg_3p_f.npy,peg,0.0,0.15,2023-07-18 22:49:55.587801
models/gmm/peg_3p_f.npy,peg,0.01,0.28,2023-07-18 22:50:16.849360
models/gmm/peg_3p_f.npy,peg,0.02,0.17,2023-07-18 22:51:49.565619
models/gmm/peg_3p_f.npy,peg,0.03,0.09,2023-07-18 22:53:29.172648
models/gmm/peg_3p_f.npy,peg,0.05,0.05,2023-07-18 22:54:09.451619
models/gmm/peg_3p.npy,peg,0.0,0.31,2023-07-18 23:06:44.692005
models/gmm/peg_3p.npy,peg,0.01,0.26,2023-07-18 23:06:52.902857
models/gmm/peg_3p.npy,peg,0.02,0.13,2023-07-18 23:08:13.329101
models/gmm/peg_3p.npy,peg,0.03,0.11,2023-07-18 23:08:26.390961
models/gmm/peg_3p.npy,peg,0.05,0.05,2023-07-18 23:08:32.495016
models/gmm/peg_3p_t.npy,peg,0.0,0.08,2023-07-18 22:57:09.048972
models/gmm/peg_3p_t.npy,peg,0.01,0.15,2023-07-18 22:57:07.449398
models/gmm/peg_3p_t.npy,peg,0.02,0.14,2023-07-18 22:57:29.114117
models/gmm/peg_3p_t.npy,peg,0.03,0.08,2023-07-18 22:58:06.001517
models/gmm/peg_3p_t.npy,peg,0.05,0.04,2023-07-18 22:59:07.601831
models/gmm/peg_5p_f.npy,peg,0.0,0.16,2023-07-18 22:45:59.240312
models/gmm/peg_5p_f.npy,peg,0.01,0.2,2023-07-18 22:46:06.266265
models/gmm/peg_5p_f.npy,peg,0.02,0.2,2023-07-18 22:46:40.784082
models/gmm/peg_5p_f.npy,peg,0.03,0.1,2023-07-18 22:48:15.230620
models/gmm/peg_5p_f.npy,peg,0.05,0.08,2023-07-18 22:50:19.945584
models/gmm/peg_5p.npy,peg,0.0,0.28,2023-07-18 23:04:43.865020
models/gmm/peg_5p.npy,peg,0.01,0.26,2023-07-18 23:04:39.566932
models/gmm/peg_5p.npy,peg,0.02,0.22,2023-07-18 23:04:28.619381
models/gmm/peg_5p.npy,peg,0.03,0.18,2023-07-18 23:06:01.682226
models/gmm/peg_5p.npy,peg,0.05,0.15,2023-07-18 23:06:26.232832
models/gmm/peg_5p_t.npy,peg,0.0,0.03,2023-07-18 22:54:35.572519
models/gmm/peg_5p_t.npy,peg,0.01,0.08,2023-07-18 22:55:09.949336
models/gmm/peg_5p_t.npy,peg,0.02,0.07,2023-07-18 22:55:20.181775
models/gmm/peg_5p_t.npy,peg,0.03,0.08,2023-07-18 22:55:57.916279
models/gmm/peg_5p_t.npy,peg,0.05,0.03,2023-07-18 22:56:35.758631
models/gmm/peg_7p_f.npy,peg,0.0,0.19,2023-07-18 22:51:35.970266
models/gmm/peg_7p_f.npy,peg,0.01,0.1,2023-07-18 22:42:35.791569
models/gmm/peg_7p_f.npy,peg,0.02,0.13,2023-07-18 22:42:53.454977
models/gmm/peg_7p_f.npy,peg,0.03,0.05,2023-07-18 22:43:17.895172
models/gmm/peg_7p_f.npy,peg,0.05,0.06,2023-07-18 22:44:15.363151
models/gmm/peg_7p.npy,peg,0.0,0.31,2023-07-18 23:02:41.077052
models/gmm/peg_7p.npy,peg,0.01,0.23,2023-07-18 23:02:48.172866
models/gmm/peg_7p.npy,peg,0.02,0.15,2023-07-18 23:02:16.426878
models/gmm/peg_7p.npy,peg,0.03,0.11,2023-07-18 23:02:28.078688
models/gmm/peg_7p.npy,peg,0.05,0.08,2023-07-18 23:04:24.340390
models/gmm/peg_7p_t.npy,peg,0.01,0.1,2023-07-18 22:52:45.523422
models/gmm/peg_7p_t.npy,peg,0.02,0.09,2023-07-18 22:52:58.581362
models/gmm/peg_7p_t.npy,peg,0.03,0.04,2023-07-18 22:54:02.399236
models/gmm/peg_7p_t.npy,peg,0.05,0.05,2023-07-18 22:54:53.246450
