model,env,noise,accuracy,date
models/gmm/sd_3p_f.npy,sliding_door,0.0,0.37,2023-03-14 17:20:22.521110
models/gmm/sd_3p_f.npy,sliding_door,0.01,0.31,2023-03-14 17:20:31.069344
models/gmm/sd_3p_f.npy,sliding_door,0.02,0.31,2023-03-14 17:22:08.931787
models/gmm/sd_3p_f.npy,sliding_door,0.03,0.32,2023-03-14 17:22:37.930077
models/gmm/sd_3p_f.npy,sliding_door,0.05,0.24,2023-03-14 17:22:59.786892
models/gmm/sd_3p_js.npy,sliding_door,0.0,0.42,2023-03-14 17:51:20.970364
models/gmm/sd_3p_js.npy,sliding_door,0.01,0.45,2023-03-14 17:51:40.222537
models/gmm/sd_3p_js.npy,sliding_door,0.02,0.45,2023-03-14 17:52:47.862508
models/gmm/sd_3p_js.npy,sliding_door,0.03,0.32,2023-03-14 17:53:57.716652
models/gmm/sd_3p_js.npy,sliding_door,0.05,0.19,2023-03-14 17:53:59.899397
models/gmm/sd_3p.npy,sliding_door,0.0,0.57,2023-03-14 17:04:41.936555
models/gmm/sd_3p/n00_f.npy,sliding_door,0.0,0.0,2023-03-10 18:59:00.015042
models/gmm/sd_3p/n00_js.npy,sliding_door,0.0,0.14,2023-03-10 19:07:51.814208
models/gmm/sd_3p.npy,sliding_door,0.01,0.5,2023-03-14 17:05:11.856328
models/gmm/sd_3p/n01_f.npy,sliding_door,0.01,0.0,2023-03-10 18:58:36.174009
models/gmm/sd_3p/n01_js.npy,sliding_door,0.01,0.1,2023-03-10 19:08:05.608142
models/gmm/sd_3p.npy,sliding_door,0.02,0.43,2023-03-14 17:05:52.505431
models/gmm/sd_3p/n02_f.npy,sliding_door,0.02,0.0,2023-03-10 19:00:13.905170
models/gmm/sd_3p/n02_js.npy,sliding_door,0.02,0.08,2023-03-10 19:08:23.346548
models/gmm/sd_3p.npy,sliding_door,0.03,0.31,2023-03-14 17:06:22.070481
models/gmm/sd_3p/n03_f.npy,sliding_door,0.03,0.0,2023-03-10 18:59:10.663242
models/gmm/sd_3p/n03_js.npy,sliding_door,0.03,0.17,2023-03-10 19:08:57.822634
models/gmm/sd_3p.npy,sliding_door,0.05,0.28,2023-03-14 17:06:49.195162
models/gmm/sd_3p/n05_f.npy,sliding_door,0.05,0.0,2023-03-10 18:59:30.630785
models/gmm/sd_3p/n05_js.npy,sliding_door,0.05,0.21,2023-03-10 19:09:46.148243
models/gmm/sd_3p_t.npy,sliding_door,0.0,0.0,2023-03-14 17:37:44.174185
models/gmm/sd_3p_t.npy,sliding_door,0.01,0.02,2023-03-14 17:39:13.772371
models/gmm/sd_3p_t.npy,sliding_door,0.02,0.0,2023-03-14 17:41:25.203113
models/gmm/sd_3p_t.npy,sliding_door,0.03,0.01,2023-03-14 17:41:15.915068
models/gmm/sd_3p_t.npy,sliding_door,0.05,0.01,2023-03-14 17:42:43.184038
models/gmm/sd_5p_f.npy,sliding_door,0.0,0.0,2023-03-14 17:14:54.250861
models/gmm/sd_5p_f.npy,sliding_door,0.01,0.0,2023-03-14 17:17:03.948071
models/gmm/sd_5p_f.npy,sliding_door,0.02,0.0,2023-03-14 17:18:36.654502
models/gmm/sd_5p_f.npy,sliding_door,0.03,0.0,2023-03-14 17:18:44.428298
models/gmm/sd_5p_f.npy,sliding_door,0.05,0.0,2023-03-14 17:20:58.640963
models/gmm/sd_5p_js.npy,sliding_door,0.0,0.43,2023-03-14 17:46:27.394980
models/gmm/sd_5p_js.npy,sliding_door,0.01,0.54,2023-03-14 17:47:55.821104
models/gmm/sd_5p_js.npy,sliding_door,0.02,0.44,2023-03-14 17:48:58.769835
models/gmm/sd_5p_js.npy,sliding_door,0.03,0.34,2023-03-14 17:49:33.275877
models/gmm/sd_5p_js.npy,sliding_door,0.05,0.35,2023-03-14 17:50:35.258621
models/gmm/sd_5p.npy,sliding_door,0.0,0.62,2023-03-14 17:01:45.290387
models/gmm/sd_5p/n00_f.npy,sliding_door,0.0,0.0,2023-03-10 18:54:29.199855
models/gmm/sd_5p/n00_js.npy,sliding_door,0.0,0.13,2023-03-10 19:04:48.606773
models/gmm/sd_5p.npy,sliding_door,0.01,0.54,2023-03-14 17:03:27.859664
models/gmm/sd_5p/n01_f.npy,sliding_door,0.01,0.0,2023-03-10 18:56:46.110946
models/gmm/sd_5p/n01_js.npy,sliding_door,0.01,0.13,2023-03-10 19:05:22.389829
models/gmm/sd_5p.npy,sliding_door,0.02,0.52,2023-03-14 17:03:46.160224
models/gmm/sd_5p/n02_f.npy,sliding_door,0.02,0.0,2023-03-10 18:57:59.727920
models/gmm/sd_5p/n02_js.npy,sliding_door,0.02,0.17,2023-03-10 19:04:46.650900
models/gmm/sd_5p.npy,sliding_door,0.03,0.44,2023-03-14 17:04:10.405298
models/gmm/sd_5p/n03_f.npy,sliding_door,0.03,0.0,2023-03-10 18:57:58.847979
models/gmm/sd_5p/n03_js.npy,sliding_door,0.03,0.12,2023-03-10 19:06:01.693009
models/gmm/sd_5p.npy,sliding_door,0.05,0.29,2023-03-14 17:05:21.152695
models/gmm/sd_5p/n05_f.npy,sliding_door,0.05,0.0,2023-03-10 18:57:43.496072
models/gmm/sd_5p/n05_js.npy,sliding_door,0.05,0.01,2023-03-10 19:07:15.188325
models/gmm/sd_5p_t.npy,sliding_door,0.0,0.0,2023-03-14 17:31:34.266835
models/gmm/sd_5p_t.npy,sliding_door,0.01,0.0,2023-03-14 17:33:52.822297
models/gmm/sd_5p_t.npy,sliding_door,0.02,0.0,2023-03-14 17:34:13.757374
models/gmm/sd_5p_t.npy,sliding_door,0.03,0.0,2023-03-14 17:35:19.105736
models/gmm/sd_5p_t.npy,sliding_door,0.05,0.01,2023-03-14 17:37:46.576835
models/gmm/sd_7p_f.npy,sliding_door,0.0,0.0,2023-03-14 17:26:19.567388
models/gmm/sd_7p_f.npy,sliding_door,0.01,0.0,2023-03-14 17:10:21.613983
models/gmm/sd_7p_f.npy,sliding_door,0.02,0.0,2023-03-14 17:11:04.715269
models/gmm/sd_7p_f.npy,sliding_door,0.03,0.0,2023-03-14 17:13:24.707246
models/gmm/sd_7p_f.npy,sliding_door,0.05,0.0,2023-03-14 17:14:27.171161
models/gmm/sd_7p_js.npy,sliding_door,0.01,0.49,2023-03-14 17:43:47.225627
models/gmm/sd_7p_js.npy,sliding_door,0.02,0.43,2023-03-14 17:43:51.579129
models/gmm/sd_7p_js.npy,sliding_door,0.03,0.38,2023-03-14 17:45:33.396327
models/gmm/sd_7p_js.npy,sliding_door,0.05,0.32,2023-03-14 17:46:34.701457
models/gmm/sd_7p.npy,sliding_door,0.0,0.55,2023-03-14 17:00:02.609903
models/gmm/sd_7p/n00_f.npy,sliding_door,0.0,0.0,2023-03-10 18:54:48.948152
models/gmm/sd_7p/n00_js.npy,sliding_door,0.0,0.16,2023-03-10 19:01:58.512330
